x;y;Species;Reference
-50.146111;-27.856667;Gymnosphaera capensis subsp polypodioides;GBIF
-48.833333;-25.25;Gymnosphaera capensis subsp polypodioides;GBIF
-49.371944;-28.014167;Gymnosphaera capensis subsp polypodioides;GBIF
-50.1446991;-29.04780006;Gymnosphaera capensis subsp polypodioides;SpeciesLink
-49.51779938;-27.05690002;Gymnosphaera capensis subsp polypodioides;SpeciesLink
-52.42580032;-29.71750069;Gymnosphaera capensis subsp polypodioides;SpeciesLink
-49.543991;-25.459729;Gymnosphaera capensis subsp polypodioides;Fernandes,1997
-49.312888;-25.189934;Gymnosphaera capensis subsp polypodioides;Fernandes,1997
-50.580457;-29.446456;Gymnosphaera capensis subsp polypodioides;Fernandes,1997
-49.4892;-27.79719;Gymnosphaera capensis subsp polypodioides;SpeciesLink
-50326;-27.816099;Gymnosphaera capensis subsp polypodioides;SpeciesLink
-49.0769;-25.3656;Gymnosphaera capensis subsp polypodioides;SpeciesLink
-49.6356;-25.5839;Gymnosphaera capensis subsp polypodioides;SpeciesLink
-49.0553;-25.3055;Gymnosphaera capensis subsp polypodioides;SpeciesLink
-50.1714;-25.0949;Gymnosphaera capensis subsp polypodioides;SpeciesLink
-53.960773;-25.859412;Alsophila setosa;GBIF
-53.899364;-27.151832;Alsophila setosa;GBIF
-48.549167;-27.740278;Alsophila setosa;GBIF
-49.136944;-28.080556;Alsophila setosa;GBIF
-49.59;-28.62;Alsophila setosa;GBIF
-49.232778;-26.46;Alsophila setosa;GBIF
-51.898889;-26.085556;Alsophila setosa;GBIF
-49.392778;-26.264167;Alsophila setosa;GBIF
-49.313333;-26.324722;Alsophila setosa;GBIF
-50.534222;-24.336861;Alsophila setosa;GBIF
-50.308417;-24.143083;Alsophila setosa;GBIF
-49.413217;-25.4736;Alsophila setosa;GBIF
-49.0122;-25451;Alsophila setosa;GBIF
-51.842167;-25.973167;Alsophila setosa;GBIF
-48.3258;-25.2983;Alsophila setosa;GBIF
-51.83825;-25.949722;Alsophila setosa;GBIF
-51.854667;-25.946028;Alsophila setosa;GBIF
-51.850361;-24.563333;Alsophila setosa;GBIF
-50.810139;-29.32125;Alsophila setosa;GBIF
-51.731944;-24.772778;Alsophila setosa;GBIF
-49.070278;-27.004444;Alsophila setosa;GBIF
-52.452583;-24.288472;Alsophila setosa;GBIF
-53.807829;-29.551238;Alsophila setosa;GBIF
-53.17;-25.42;Alsophila setosa;GBIF
-55.57628;-27.2789;Alsophila setosa;GBIF
-50.32648464;-27.82000884;Alsophila setosa;GBIF
-54.583333;-25.716667;Alsophila setosa;GBIF
-53.733333;-26.05;Alsophila setosa;GBIF
-48.693333;-24.539444;Alsophila setosa;GBIF
-52.752386;-26.754439;Alsophila setosa;GBIF
-50.395556;-29.418889;Alsophila setosa;GBIF
-50.291056;-29.706944;Alsophila setosa;GBIF
-50.365278;-29.730833;Alsophila setosa;GBIF
-50.974481;-29.503944;Alsophila setosa;GBIF
-50.018056;-29.678889;Alsophila setosa;GBIF
-51.052778;-29.678889;Alsophila setosa;GBIF
-50.615833;-29.4625;Alsophila setosa;GBIF
-50.55;-29.433333;Alsophila setosa;GBIF
-54;-28.55;Alsophila setosa;GBIF
-53.833333;-27.216667;Alsophila setosa;GBIF
-53.8;-29.683333;Alsophila setosa;GBIF
-50.555067;-29.45375;Alsophila setosa;GBIF
-52.219717;-28.40695;Alsophila setosa;GBIF
-53.968283;-27.238867;Alsophila setosa;GBIF
-51.558633;-28.925167;Alsophila setosa;GBIF
-49.916667;-29.333333;Alsophila setosa;GBIF
-46.939528;-23.825778;Alsophila setosa;GBIF
-48.417222;-24.931111;Alsophila setosa;GBIF
-48.374444;-24.3075;Alsophila setosa;GBIF
-48.419167;-24.2775;Alsophila setosa;GBIF
-56.015278;-25.469722;Alsophila setosa;GBIF
-52.9;-30.037778;Alsophila setosa;GBIF
-50;-29;Alsophila setosa;GBIF
-50.071111;-29.370278;Alsophila setosa;GBIF
-50.109453;-29.510844;Alsophila setosa;GBIF
-51.188611;-27.930278;Alsophila setosa;GBIF
-54.8333;-25.5;Alsophila setosa;GBIF
-53.841528;-25.154111;Alsophila setosa;GBIF
-53.04375;-25.36401;Alsophila setosa;GBIF
-50.0975;-29.184722;Alsophila setosa;GBIF
-49.14;-27.000278;Alsophila setosa;GBIF
-49.319167;-28.260833;Alsophila setosa;GBIF
-51.969722;-26.788611;Alsophila setosa;GBIF
-52155;-27.27;Alsophila setosa;GBIF
-55.506667;-26.081111;Alsophila setosa;GBIF
-48.971111;-25.859722;Alsophila setosa;GBIF
-52.62;-27.1;Alsophila setosa;GBIF
-49.838611;-26.682222;Alsophila setosa;GBIF
-54.804722;-25.631944;Alsophila setosa;GBIF
-56.25;-25.71666;Alsophila setosa;GBIF
-53.75;-26.13333;Alsophila setosa;GBIF
-53.88333;-27.06666;Alsophila setosa;GBIF
-53.78333;-26.01666;Alsophila setosa;GBIF
-55.483611;-25.538889;Alsophila setosa;GBIF
-53.913333;-26.779167;Alsophila setosa;GBIF
-51.019167;-29.677222;Alsophila setosa;GBIF
-49.913056;-29.417778;Alsophila setosa;GBIF
-52.75;-28.466667;Alsophila setosa;GBIF
-52.15;-28.883333;Alsophila setosa;GBIF
-52.85;-28.633333;Alsophila setosa;GBIF
-49.424722;-28.598333;Alsophila setosa;GBIF
-49.291667;-28.359444;Alsophila setosa;GBIF
-49.298889;-28.285278;Alsophila setosa;GBIF
