"","x","y","sp","Reference"
"1",-56.88,-26.02,"Cyathea atrovirens","SpeciesLink"
"2",-56.28333,-25.95,"Cyathea atrovirens","GBIF"
"3",-56.25,-25.71666,"Alsophila setosa","GBIF"
"4",-56.25,-25.71666,"Cyathea atrovirens","GBIF"
"5",-56.1236,-23.8067,"Cyathea atrovirens","SpeciesLink"
"6",-56.015278,-25.469722,"Alsophila setosa","GBIF"
"7",-56,-25.16667,"Cyathea atrovirens","GBIF"
"8",-55.93333,-26.03333,"Cyathea atrovirens","GBIF"
"9",-55.7706,-26.2875,"Cyathea atrovirens","GBIF"
"10",-55.58333,-27.26666,"Cyathea atrovirens","GBIF"
"11",-55.57628,-27.2789,"Alsophila setosa","GBIF"
"12",-55.543055,-25.693055,"Cyathea atrovirens","GBIF"
"13",-55.5278,-24.1331,"Cyathea atrovirens","GBIF"
"14",-55.506667,-26.081111,"Alsophila setosa","GBIF"
"15",-55.483611,-25.538889,"Alsophila setosa","GBIF"
"16",-55.338333,-27.159722,"Cyathea atrovirens","GBIF"
"17",-55.33333,-26.16666,"Cyathea atrovirens","GBIF"
"18",-55.054167,-27.331111,"Cyathea atrovirens","GBIF"
"19",-55.016667,-26.8,"Cyathea atrovirens","GBIF"
"20",-55,-25.5,"Cyathea atrovirens","GBIF"
"21",-54.8333,-25.5,"Alsophila setosa","GBIF"
"22",-54.8169,-25.6417,"Cyathea atrovirens","GBIF"
"23",-54.583333,-25.716667,"Alsophila setosa","GBIF"
"24",-54.58333,-25.6,"Cyathea atrovirens","GBIF"
"25",-54.47,-26.65,"Cyathea atrovirens","GBIF"
"26",-54.41,-25.88,"Alsophila setosa","GBIF"
"27",-54.41,-25.88,"Cyathea atrovirens","GBIF"
"28",-54.26309967,-28.29920006,"Dicksonia sellowiana","SpeciesLink"
"29",-54.21,-26.92,"Alsophila setosa","GBIF"
"30",-54.2,-26.98333,"Dicksonia sellowiana","GBIF"
"31",-54.13,-26.88,"Cyathea atrovirens","GBIF"
"32",-54.12,-26.6,"Alsophila setosa","GBIF"
"33",-54,-28.55,"Alsophila setosa","GBIF"
"34",-53.968283,-27.238867,"Alsophila setosa","GBIF"
"35",-53.960773,-25.859412,"Alsophila setosa","GBIF"
"36",-53.9,-26.88,"Dicksonia sellowiana","GBIF"
"37",-53.883333,-26.466667,"Dicksonia sellowiana","GBIF"
"38",-53.88,-26.9,"Alsophila setosa","GBIF"
"39",-53.873889,-29.627778,"Cyathea atrovirens","GBIF"
"40",-53.841528,-25.154111,"Alsophila setosa","GBIF"
"41",-53.816667,-27.183333,"Dicksonia sellowiana","GBIF"
"42",-53.807829,-29.551238,"Alsophila setosa","GBIF"
"43",-53.78333,-26.01666,"Dicksonia sellowiana","GBIF"
"44",-53.754222,-25.108389,"Cyathea atrovirens","GBIF"
"45",-53.75,-26.13333,"Alsophila setosa","GBIF"
"46",-53.670639,-25.083889,"Dicksonia sellowiana","GBIF"
"47",-53.66666,-26.2,"Dicksonia sellowiana","GBIF"
"48",-53.63,-26.25,"Cyathea atrovirens","GBIF"
"49",-53.585556,-29.6425,"Dicksonia sellowiana","GBIF"
"50",-53.301667,-26.432778,"Alsophila setosa","GBIF"
"51",-53.285556,-26.308889,"Dicksonia sellowiana","IFFSC"
"52",-53.101194,-25.695972,"Cyathea atrovirens","GBIF"
"53",-53.04375,-25.36401,"Alsophila setosa","GBIF"
"54",-52.9,-30.037778,"Alsophila setosa","GBIF"
"55",-52.85,-28.633333,"Alsophila setosa","GBIF"
"56",-52.797444,-24.598417,"Alsophila setosa","GBIF"
"57",-52.758611,-23.913611,"Cyathea atrovirens","GBIF"
"58",-52.752386,-26.754439,"Alsophila setosa","GBIF"
"59",-52.62,-27.1,"Alsophila setosa","GBIF"
"60",-52.564167,-26.460556,"Alsophila setosa","GBIF"
"61",-52.564167,-26.460556,"Dicksonia sellowiana","GBIF"
"62",-52.550833,-24.521167,"Alsophila setosa","GBIF"
"63",-52.515833,-26.773611,"Alsophila setosa","GBIF"
"64",-52.515556,-26.944444,"Dicksonia sellowiana","GBIF"
"65",-52.457444,-24.51275,"Cyathea delgadii","GBIF"
"66",-52.4574,-24.5128,"Cyathea atrovirens","GBIF"
"67",-52.42580032,-29.71750069,"Cyathea atrovirens","SpeciesLink"
"68",-52.42580032,-29.71750069,"Dicksonia sellowiana","SpeciesLink"
"69",-52.42580032,-29.71750069,"Gymnosphaera capensis","SpeciesLink"
"70",-52.42580032,-29.71750069,"Lophosoria quadripinnata","SpeciesLink"
"71",-52.398639,-24.089111,"Cyathea atrovirens","GBIF"
"72",-52.37894729,-29.99362202,"Cyathea atrovirens","GBIF"
"73",-52.320667,-24.200444,"Alsophila setosa","GBIF"
"74",-52.310778,-24.205889,"Cyathea delgadii","GBIF"
"75",-52.294167,-26.822222,"Dicksonia sellowiana","IFFSC"
"76",-52.29,-27.18,"Alsophila setosa","IFFSC"
"77",-52.283333,-28.8,"Dicksonia sellowiana","GBIF"
"78",-52.27389908,-27.63419914,"Alsophila setosa","SpeciesLink"
"79",-52.266972,-24.577639,"Dicksonia sellowiana","GBIF"
"80",-52.219717,-28.40695,"Alsophila setosa","GBIF"
"81",-52.199722,-26.999722,"Alsophila setosa","IFFSC"
"82",-52.199722,-26.999722,"Dicksonia sellowiana","IFFSC"
"83",-52.15,-28.883333,"Alsophila setosa","GBIF"
"84",-52.129722,-24.763972,"Dicksonia sellowiana","GBIF"
"85",-52.108889,-26.550278,"Dicksonia sellowiana","IFFSC"
"86",-52.016944,-26.82,"Dicksonia sellowiana","GBIF"
"87",-51.969722,-26.788611,"Alsophila setosa","GBIF"
"88",-51.855667,-25.927278,"Dicksonia sellowiana","GBIF"
"89",-51.854667,-25.946028,"Alsophila setosa","GBIF"
"90",-51.850361,-24.563333,"Alsophila setosa","GBIF"
"91",-51.839833,-25.950917,"Cyathea phalerata","GBIF"
"92",-51.7825,-26.893333,"Dicksonia sellowiana","GBIF"
"93",-51.73529816,-29.16889954,"Alsophila setosa","SpeciesLink"
"94",-51.731944,-24.772778,"Alsophila setosa","GBIF"
"95",-51.731944,-24.77275,"Dicksonia sellowiana","GBIF"
"96",-51.6325,-29.221944,"Dicksonia sellowiana","GBIF"
"97",-51.616667,-28.25,"Dicksonia sellowiana","GBIF"
"98",-51.6,-26.416667,"Dicksonia sellowiana","GBIF"
"99",-51.572778,-26.641667,"Dicksonia sellowiana","IFFSC"
"100",-51.568194,-25.04625,"Cyathea phalerata","GBIF"
"101",-51.562222,-25.043611,"Dicksonia sellowiana","GBIF"
"102",-51.558633,-28.925167,"Alsophila setosa","GBIF"
"103",-51.48,-27.54,"Dicksonia sellowiana","GBIF"
"104",-51.46080017,-23.55080032,"Alsophila setosa","SpeciesLink"
"105",-51.40810013,-28.99029922,"Dicksonia sellowiana","SpeciesLink"
"106",-51.394217,-29.420572,"Cyathea atrovirens","GBIF"
"107",-51.389722,-27.135833,"Dicksonia sellowiana","IFFSC"
"108",-51.33333,-26.41667,"Dicksonia sellowiana","GBIF"
"109",-51.303333,-26.818889,"Dicksonia sellowiana","IFFSC"
"110",-51.260278,-27.629167,"Dicksonia sellowiana","GBIF"
"111",-51.188611,-27.930278,"Alsophila setosa","GBIF"
"112",-51.188528,-27.930278,"Dicksonia sellowiana","GBIF"
"113",-51.1794014,-29.16810036,"Alsophila setosa","SpeciesLink"
"114",-51.1794014,-29.16810036,"Dicksonia sellowiana","SpeciesLink"
"115",-51.179167,-29.168333,"Cyathea delgadii","GBIF"
"116",-51.167412,-28.223316,"Dicksonia sellowiana","GBIF"
"117",-51.150556,-29.152222,"Lophosoria quadripinnata","GBIF"
"118",-51.118889,-26.731944,"Dicksonia sellowiana","IFFSC"
"119",-51.1142,-29.3767,"Dicksonia sellowiana","SpeciesLink"
"120",-51.07882773,-26.2421851,"Cyathea atrovirens","GBIF"
"121",-51.058833,-28.945056,"Dicksonia sellowiana","GBIF"
"122",-51.052778,-29.678889,"Alsophila setosa","GBIF"
"123",-51.027778,-26.553611,"Dicksonia sellowiana","IFFSC"
"124",-51,-24,"Cyathea atrovirens","GBIF"
"125",-51,-24,"Cyathea corcovadensis","GBIF"
"126",-51,-24,"Cyathea delgadii","GBIF"
"127",-51,-24,"Dicksonia sellowiana","GBIF"
"128",-51,-24,"Lophosoria quadripinnata","GBIF"
"129",-50.974481,-29.503944,"Cyathea atrovirens","GBIF"
"130",-50.966667,-29.716667,"Cyathea delgadii","GBIF"
"131",-50.94,-27.63,"Alsophila setosa","GBIF"
"132",-50.94,-27.63,"Dicksonia sellowiana","GBIF"
"133",-50.94,-26.91,"Dicksonia sellowiana","IFFSC"
"134",-50.938056,-26.371111,"Alsophila setosa","IFFSC"
"135",-50.938056,-26.371111,"Cyathea phalerata","IFFSC"
"136",-50.930833,-28.868611,"Lophosoria quadripinnata","GBIF"
"137",-50.890537,-29.219297,"Dicksonia sellowiana","GBIF"
"138",-50.844056,-25.82875,"Cyathea atrovirens","GBIF"
"139",-50.844056,-25.82875,"Cyathea corcovadensis","GBIF"
"140",-50.838194,-26.087806,"Lophosoria quadripinnata","GBIF"
"141",-50.82109833,-25.87779999,"Dicksonia sellowiana","SpeciesLink"
"142",-50.81365,-29.80614,"Cyathea atrovirens","GBIF"
"143",-50.810139,-29.32125,"Alsophila setosa","GBIF"
"144",-50.793056,-29.674444,"Dicksonia sellowiana","GBIF"
"145",-50.780555,-28.179444,"Dicksonia sellowiana","GBIF"
"146",-50.765833,-26.373056,"Dicksonia sellowiana","IFFSC"
"147",-50.761667,-27.450833,"Dicksonia sellowiana","IFFSC"
"148",-50.706944,-24.100556,"Cyathea atrovirens","GBIF"
"149",-50.695833,-29.342222,"Dicksonia sellowiana","GBIF"
"150",-50.674444,-26.819722,"Dicksonia sellowiana","IFFSC"
